title,price,rating,num_reviews
"Lenovo Notebook V14 IML, i3 1005G1 Processor, 14.0 inch HD Display, 4GB Base DDR4 Memory, 1TB, Integrated Graphics, Win 10 PRO, Grey",949.99,2.4 out of 5 stars,6
"ASUS Vivobook 15 X1504ZA-NJ005W (Cool Silver), Slim Laptop, 12th Gen Intel i5 8GB 512GB SSD, WIN11 HOME, 15.6-inch OLED 16:10, 60Hz, FHD Webcam, Backlit-Eng-Arb-KB","1,649.00",5.0 out of 5 stars,5
"HP Elitebook 840 G5 14"" FHD Business Laptop Computer, Intel Quad-Core i5-8350U, 16GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Type-C, HDMI, Windows 11 Pro (Renewed)",791.00,3.4 out of 5 stars,166
"ASUS Vivobook 14 X1404VA-NK114W (Quiet Blue) Slim Laptop, i5-1355U 8GB 512GB PCIE G3 SSD, Intel UMA, WIN11 HOME, 14-inch, HD Webcam, Fingerprint, Backlit-Eng-Arb-KB","1,769.00",4.0 out of 5 stars,2
"HP Pavilion 14-inch HD Laptop, Intel Core i5-1135G7 (Beats i7-1065G7), Intel Iris Xe Graphics, Long Battery Life, Webcam, HDMI, WiFi, Bluetooth, Windows11 (16GB RAM | 1TB SSD)","1,699.00",3.7 out of 5 stars,53
"Lenovo 15.6"" Laptop with Intel i5-1235U, IdeaPad 1i, 15.6"" FHD Anti-Glare Display, 12th Gen Intel Core i5-1235U 10-core Processor, Intel Iris Xe Graphics, Windows 11 Home(16GB RAM | 1TB SSD)","1,699.00",3.7 out of 5 stars,308
"Dell Vostro 3000 3520 Laptop (2023) | 15.6"" FHD | Core i7-512GB SSD - 16GB RAM | 10 Cores @1.70 up to 4.7 GHz - 12th Gen CPU Win 11 Pro(UPGRADE) (SPORT CAM FREE PRO ACTION CAMERA 1.50/2.0 INCHESS)","1,999.00",5.0 out of 5 stars,14
"HP Newest Laptop , 15.6"" HD Display, Dual Core Intel i3-1115G4 (Upto 4.1GHz,Beats i5-1030G7), 16GB RAM, 256GB SSD, HD Webcam, Bluetooth, WiFi 6, 11+ Hour Battery, Win 11 (Upgraded)","1,290.00",4.0 out of 5 stars,153
"Lenovo 2022 100E 11.6"" HD Rugged&Spill Resistant Chromebook 2ND Gen Laptop, MT8173 CPU, 4GB LPDDR3 RAM, 32GB eMMC TLC SSD, 720P HD Camera, Black, Chrome OS (Renewed)",121.99,3.7 out of 5 stars,19
"DELL Latitude 5470 Business Laptop, Core i7-6820HQ CPU, 8GB DDR4 RAM, 256GB SSD 2.5 HDD, 14 inch Display, Windows 10 Pro (Renewed)",538.00,3.4 out of 5 stars,12
"HP 15.6 inch Laptop, FHD Display, 12th Gen Intel Core i5, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 15-dy5399nr (2023)","1,589.00",4.2 out of 5 stars,354
